,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
0,0.0,0.078,0.0,0.001,0.17,0.728,0.001,0.0,0.306,0.239,0.538,0.2061000019311905,0.0,0.18931999802589417
1,1.0,0.642,0.603,0.143,0.423,0.0,0.432,0.223,0.4,0.281,0.137,0.32839998602867126,0.0,0.30809998512268066
2,2.0,0.222,0.581,0.184,0.357,0.001,0.104,0.834,0.311,0.857,0.447,0.38979998230934143,0.0,0.39056000113487244
3,3.0,0.822,0.434,0.563,0.113,0.541,0.229,0.59,0.58,0.21,0.478,0.4560000002384186,0.0,0.4536599814891815
4,4.0,0.528,0.916,0.514,0.253,0.325,0.844,0.653,0.373,0.648,0.48,0.5533999800682068,0.0,0.5170199871063232
5,5.0,0.461,0.189,0.31,0.418,0.854,0.417,0.293,0.684,0.82,0.677,0.5123000144958496,0.0,0.494159996509552
6,6.0,0.459,0.913,0.679,0.303,0.186,0.451,0.768,0.699,0.191,0.582,0.523099958896637,0.0,0.5049999952316284
7,7.0,0.661,0.854,0.458,0.286,0.904,0.51,0.307,0.705,0.661,0.606,0.5952000021934509,0.0,0.595039963722229
8,8.0,0.479,0.587,0.248,0.797,0.629,0.603,0.252,0.231,0.696,0.872,0.5393999814987183,0.0,0.49719998240470886
9,9.0,0.838,0.433,0.587,0.679,0.393,0.397,0.9,0.759,0.747,0.721,0.6453999876976013,0.0,0.6429600119590759
10,10.0,0.513,0.289,0.337,0.3,0.635,0.799,0.746,0.379,0.834,0.977,0.5809000134468079,0.0,0.5622199773788452
11,11.0,0.707,0.854,0.664,0.347,0.336,0.818,0.908,0.516,0.632,0.741,0.6523000001907349,0.0,0.6475600004196167
12,12.0,0.874,0.893,0.728,0.656,0.62,0.243,0.725,0.836,0.76,0.745,0.7080000042915344,0.0,0.6973199844360352
13,13.0,0.673,0.829,0.572,0.347,0.889,0.639,0.394,0.855,0.582,0.734,0.6513999700546265,0.0,0.623259961605072
14,14.0,0.703,0.858,0.295,0.895,0.382,0.583,0.202,0.666,0.754,0.837,0.6175000071525574,0.0,0.5630999803543091
15,15.0,0.838,0.726,0.853,0.476,0.724,0.332,0.526,0.506,0.684,0.839,0.6503999829292297,0.0,0.5970199704170227
16,16.0,0.717,0.853,0.548,0.323,0.312,0.445,0.838,0.978,0.696,0.757,0.6466999650001526,0.0,0.6568599939346313
17,17.0,0.757,0.905,0.66,0.531,0.952,0.762,0.65,0.322,0.82,0.835,0.7193999886512756,0.0,0.7125799655914307
18,18.0,0.779,0.766,0.637,0.731,0.883,0.636,0.837,0.828,0.803,0.613,0.7512999773025513,0.0,0.757420003414154
19,19.0,0.581,0.888,0.6,0.653,0.847,0.82,0.854,0.818,0.872,0.817,0.7749999761581421,0.0,0.7433199882507324
20,20.0,0.798,0.854,0.764,0.499,0.839,0.454,0.96,0.467,0.862,0.588,0.7084999680519104,0.0,0.7134799957275391
21,21.0,0.775,0.932,0.777,0.665,0.877,0.578,0.875,0.619,0.827,0.859,0.7784000039100647,0.0,0.7713199853897095
22,22.0,0.825,0.838,0.901,0.731,0.663,0.226,0.67,0.812,0.624,0.739,0.7028999924659729,0.0,0.6922799944877625
23,23.0,0.859,0.84,0.659,0.679,0.7,0.732,0.838,0.67,0.869,0.892,0.7737999558448792,0.0,0.7581599950790405
24,24.0,0.793,0.758,0.788,0.49,0.624,0.639,0.961,0.799,0.637,0.92,0.7408999800682068,0.0,0.7536199688911438
25,25.0,0.771,0.893,0.788,0.677,0.558,0.801,0.895,0.692,0.718,0.73,0.752299964427948,0.0,0.7685399651527405
26,26.0,0.743,0.976,0.861,0.892,0.706,0.665,0.793,0.839,0.855,0.785,0.8114999532699585,0.0,0.808739960193634
27,27.0,0.925,0.878,0.737,0.742,0.828,0.855,0.919,0.836,0.878,0.873,0.8470999598503113,0.0,0.8535799980163574
28,28.0,0.845,0.923,0.861,0.883,0.831,0.615,0.802,0.837,0.854,0.932,0.8382999897003174,0.0,0.8371599912643433
29,29.0,0.912,0.934,0.712,0.696,0.779,0.847,0.937,0.89,0.885,0.911,0.8502999544143677,0.0,0.8505799770355225
