,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
0,0.0,0.341,0.375,0.0,0.935,0.146,0.006,0.008,0.156,0.199,0.349,0.2514999806880951,0.0,0.24827998876571655
1,1.0,0.42,0.465,0.294,0.354,0.21,0.374,0.547,0.517,0.472,0.732,0.43849998712539673,0.0,0.44231998920440674
2,2.0,0.45,0.617,0.276,0.271,0.717,0.505,0.762,0.413,0.755,0.61,0.5375999808311462,0.0,0.5456199645996094
3,3.0,0.596,0.679,0.741,0.331,0.494,0.457,0.698,0.181,0.825,0.546,0.5547999739646912,0.0,0.5663599967956543
4,4.0,0.686,0.842,0.614,0.588,0.684,0.332,0.729,0.758,0.728,0.564,0.6524999737739563,0.0,0.6631999611854553
5,5.0,0.852,0.562,0.628,0.571,0.601,0.483,0.338,0.858,0.33,0.501,0.5723999738693237,0.0,0.5817599892616272
6,6.0,0.673,0.809,0.832,0.273,0.593,0.364,0.891,0.71,0.576,0.845,0.6565999984741211,0.0,0.6663999557495117
7,7.0,0.781,0.878,0.648,0.484,0.834,0.685,0.612,0.732,0.87,0.673,0.7196999788284302,0.0,0.7333999872207642
8,8.0,0.884,0.882,0.641,0.219,0.774,0.811,0.659,0.582,0.747,0.618,0.6816999912261963,0.0,0.6921199560165405
9,9.0,0.71,0.859,0.649,0.622,0.664,0.748,0.739,0.825,0.837,0.778,0.7430999875068665,0.0,0.7540799975395203
10,10.0,0.735,0.914,0.687,0.61,0.192,0.321,0.788,0.79,0.913,0.595,0.6545000076293945,0.0,0.6701399683952332
11,11.0,0.694,0.91,0.725,0.123,0.578,0.779,0.91,0.655,0.63,0.882,0.6886000037193298,0.0,0.7099199891090393
12,12.0,0.814,0.864,0.741,0.81,0.718,0.324,0.605,0.675,0.4,0.752,0.6703000068664551,0.0,0.6833399534225464
13,13.0,0.738,0.943,0.468,0.889,0.538,0.363,0.731,0.856,0.788,0.697,0.7010999917984009,0.0,0.7231000065803528
14,14.0,0.741,0.972,0.816,0.585,0.836,0.776,0.854,0.697,0.884,0.598,0.7759000062942505,0.0,0.8000199794769287
