,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
0,0.0,0.18,0.057,0.0,0.087,0.002,0.003,0.001,0.027,0.399,0.833,0.15889999270439148,0.0,0.15945999324321747
1,1.0,0.509,0.768,0.179,0.579,0.241,0.434,0.482,0.384,0.0,0.185,0.37610000371932983,0.0,0.3687799870967865
2,2.0,0.396,0.363,0.347,0.099,0.775,0.439,0.436,0.491,0.794,0.592,0.4731999933719635,0.0,0.4808200001716614
3,3.0,0.402,0.802,0.746,0.399,0.223,0.372,0.752,0.119,0.871,0.377,0.5062999725341797,0.0,0.5130400061607361
4,4.0,0.45,0.783,0.522,0.783,0.49,0.165,0.757,0.576,0.888,0.583,0.5996999740600586,0.0,0.610759973526001
5,5.0,0.812,0.71,0.505,0.326,0.628,0.667,0.325,0.914,0.4,0.589,0.5875999927520752,0.0,0.5959799885749817
6,6.0,0.6,0.741,0.757,0.682,0.687,0.5,0.797,0.62,0.752,0.868,0.7003999948501587,0.0,0.7104399800300598
7,7.0,0.827,0.635,0.51,0.362,0.735,0.779,0.336,0.881,0.826,0.621,0.651199996471405,0.0,0.6608399748802185
8,8.0,0.635,0.79,0.452,0.254,0.602,0.452,0.976,0.439,0.829,0.701,0.6129999756813049,0.0,0.6195399761199951
9,9.0,0.744,0.918,0.605,0.796,0.739,0.351,0.491,0.644,0.88,0.406,0.6574000120162964,0.0,0.6684600114822388
10,10.0,0.543,0.942,0.729,0.418,0.145,0.803,0.849,0.692,0.877,0.815,0.6812999844551086,0.0,0.6947799921035767
11,11.0,0.769,0.714,0.498,0.664,0.874,0.748,0.843,0.781,0.841,0.956,0.7687999606132507,0.0,0.7852399945259094
12,12.0,0.718,0.671,0.729,0.808,0.921,0.564,0.509,0.731,0.548,0.901,0.7099999785423279,0.0,0.7233200073242188
13,13.0,0.724,0.965,0.736,0.841,0.669,0.453,0.657,0.821,0.785,0.775,0.7425999641418457,0.0,0.7684400081634521
14,14.0,0.674,0.951,0.85,0.453,0.765,0.767,0.878,0.398,0.917,0.435,0.7087999582290649,0.0,0.7308200001716614
15,15.0,0.665,0.757,0.829,0.625,0.665,0.761,0.527,0.643,0.607,0.976,0.7055000066757202,0.0,0.7351199984550476
16,16.0,0.763,0.812,0.681,0.492,0.759,0.951,0.84,0.749,0.825,0.852,0.7723999619483948,0.0,0.8142600059509277
17,17.0,0.734,0.869,0.816,0.826,0.824,0.765,0.723,0.845,0.956,0.83,0.8187999725341797,0.0,0.8691799640655518
18,18.0,0.849,0.931,0.596,0.686,0.911,0.806,0.942,0.794,0.899,0.794,0.8208000063896179,0.0,0.8735599517822266
19,19.0,0.8,0.925,0.835,0.745,0.708,0.754,0.82,0.963,0.917,0.834,0.8300999999046326,0.0,0.8813999891281128
20,20.0,0.75,0.956,0.751,0.886,0.582,0.611,0.912,0.738,0.887,0.868,0.7940999865531921,0.0,0.8463199734687805
