,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
0,0.0,0.035,0.284,0.0,0.149,0.341,0.08,0.645,0.262,0.426,0.584,0.280599981546402,0.0,0.2818399965763092
1,1.0,0.502,0.481,0.305,0.604,0.298,0.248,0.345,0.473,0.474,0.534,0.42639997601509094,0.0,0.42701998353004456
2,2.0,0.658,0.664,0.463,0.316,0.565,0.399,0.639,0.523,0.764,0.497,0.548799991607666,0.0,0.5577999949455261
3,3.0,0.518,0.665,0.43,0.675,0.567,0.47,0.75,0.055,0.914,0.65,0.5694000124931335,0.0,0.5805400013923645
4,4.0,0.64,0.814,0.463,0.837,0.603,0.151,0.731,0.484,0.873,0.55,0.6146000027656555,0.0,0.6234599947929382
5,5.0,0.584,0.833,0.288,0.5,0.426,0.839,0.225,0.846,0.538,0.582,0.566100001335144,0.0,0.5728799700737
6,6.0,0.744,0.797,0.641,0.851,0.652,0.38,0.793,0.363,0.503,0.879,0.6602999567985535,0.0,0.6768400073051453
7,7.0,0.83,0.691,0.596,0.508,0.801,0.713,0.626,0.776,0.919,0.773,0.7232999801635742,0.0,0.7362599968910217
8,8.0,0.825,0.867,0.404,0.651,0.702,0.786,0.705,0.714,0.871,0.741,0.7265999913215637,0.0,0.7335000038146973
9,9.0,0.824,0.878,0.575,0.46,0.669,0.754,0.789,0.62,0.715,0.58,0.6863999962806702,0.0,0.7035399675369263
10,10.0,0.531,0.747,0.558,0.456,0.523,0.258,0.688,0.774,0.957,0.949,0.64410001039505,0.0,0.6548199653625488
11,11.0,0.713,0.815,0.253,0.472,0.826,0.54,0.855,0.817,0.84,0.928,0.7058999538421631,0.0,0.7188999652862549
12,12.0,0.565,0.649,0.737,0.666,0.919,0.474,0.335,0.746,0.299,0.708,0.6097999811172485,0.0,0.618619978427887
13,13.0,0.824,0.952,0.653,0.843,0.758,0.471,0.89,0.894,0.767,0.85,0.7901999950408936,0.0,0.8199399709701538
14,14.0,0.691,0.96,0.781,0.526,0.797,0.538,0.891,0.812,0.963,0.747,0.7705999612808228,0.0,0.7978599667549133
15,15.0,0.795,0.892,0.848,0.434,0.718,0.834,0.687,0.677,0.819,0.96,0.7663999795913696,0.0,0.7935799956321716
16,16.0,0.787,0.597,0.823,0.312,0.694,0.86,0.82,0.883,0.75,0.975,0.7500999569892883,0.0,0.7743200063705444
17,17.0,0.855,0.921,0.673,0.698,0.926,0.45,0.705,0.747,0.948,0.748,0.7670999765396118,0.0,0.7913199663162231
18,18.0,0.955,0.948,0.737,0.701,0.872,0.755,0.952,0.816,0.89,0.854,0.8479999899864197,0.0,0.9019999504089355
19,19.0,0.797,0.934,0.783,0.783,0.783,0.671,0.911,0.947,0.943,0.944,0.8495999574661255,0.0,0.9000200033187866
20,20.0,0.891,0.973,0.844,0.75,0.705,0.774,0.844,0.846,0.933,0.85,0.840999960899353,0.0,0.897879958152771
