,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
0,0.0,0.379,0.123,0.009,0.291,0.414,0.592,0.001,0.102,0.225,0.316,0.2451999932527542,0.0,0.24593999981880188
1,1.0,0.331,0.666,0.317,0.491,0.107,0.062,0.38,0.306,0.517,0.614,0.3790999948978424,0.0,0.3797000050544739
2,2.0,0.399,0.807,0.301,0.365,0.385,0.482,0.509,0.47,0.591,0.489,0.4797999858856201,0.0,0.47947999835014343
3,3.0,0.434,0.677,0.341,0.467,0.482,0.328,0.886,0.122,0.826,0.301,0.48639997839927673,0.0,0.49699997901916504
4,4.0,0.747,0.861,0.478,0.562,0.678,0.302,0.644,0.747,0.761,0.633,0.6412999629974365,0.0,0.6533399820327759
5,5.0,0.801,0.916,0.605,0.614,0.402,0.345,0.598,0.787,0.71,0.74,0.6517999768257141,0.0,0.670960009098053
6,6.0,0.766,0.636,0.622,0.481,0.721,0.224,0.575,0.804,0.64,0.863,0.6331999897956848,0.0,0.6453199982643127
7,7.0,0.522,0.571,0.498,0.256,0.896,0.535,0.588,0.743,0.919,0.674,0.620199978351593,0.0,0.6346799731254578
8,8.0,0.874,0.797,0.441,0.446,0.727,0.379,0.82,0.833,0.874,0.603,0.6793999671936035,0.0,0.6985399723052979
9,9.0,0.781,0.849,0.765,0.481,0.71,0.468,0.82,0.725,0.883,0.794,0.7275999784469604,0.0,0.7477399706840515
10,10.0,0.684,0.723,0.429,0.301,0.123,0.087,0.452,0.708,0.941,0.503,0.4950999915599823,0.0,0.5087199807167053
11,11.0,0.689,0.552,0.307,0.617,0.779,0.46,0.899,0.865,0.8,0.781,0.6748999953269958,0.0,0.6853399872779846
12,12.0,0.824,0.679,0.755,0.661,0.83,0.561,0.729,0.847,0.754,0.85,0.7489999532699585,0.0,0.7667199969291687
13,13.0,0.737,0.886,0.63,0.569,0.676,0.284,0.959,0.78,0.811,0.688,0.7019999623298645,0.0,0.729479968547821
14,14.0,0.706,0.955,0.778,0.473,0.692,0.281,0.826,0.489,0.939,0.391,0.652999997138977,0.0,0.663100004196167
15,15.0,0.765,0.956,0.838,0.547,0.62,0.744,0.706,0.639,0.79,0.785,0.7389999628067017,0.0,0.7581200003623962
16,16.0,0.773,0.618,0.553,0.197,0.694,0.822,0.672,0.724,0.649,0.984,0.6685999631881714,0.0,0.6880199909210205
17,17.0,0.825,0.921,0.832,0.737,0.672,0.723,0.762,0.864,0.907,0.812,0.8054999709129333,0.0,0.8449400067329407
18,18.0,0.837,0.894,0.672,0.624,0.636,0.62,0.921,0.668,0.887,0.962,0.7720999717712402,0.0,0.8058799505233765
19,19.0,0.721,0.824,0.687,0.613,0.841,0.765,0.718,0.962,0.882,0.96,0.7972999811172485,0.0,0.8336399793624878
20,20.0,0.857,0.961,0.642,0.611,0.296,0.808,0.573,0.795,0.888,0.852,0.7282999753952026,0.0,0.763260006904602
21,21.0,0.873,0.768,0.888,0.584,0.855,0.524,0.727,0.798,0.842,0.83,0.7688999772071838,0.0,0.7968800067901611
22,22.0,0.921,0.928,0.844,0.625,0.918,0.809,0.887,0.884,0.932,0.859,0.8606999516487122,0.0,0.9214800000190735
23,23.0,0.862,0.866,0.881,0.756,0.852,0.584,0.901,0.847,0.933,0.946,0.842799961566925,0.0,0.9060399532318115
24,24.0,0.887,0.951,0.876,0.718,0.853,0.758,0.844,0.696,0.932,0.854,0.836899995803833,0.0,0.9046199917793274
25,25.0,0.933,0.931,0.659,0.645,0.846,0.663,0.879,0.802,0.956,0.84,0.8154000043869019,0.0,0.8840399980545044
26,26.0,0.902,0.935,0.688,0.682,0.913,0.825,0.908,0.91,0.912,0.922,0.8596999645233154,0.0,0.9324199557304382
27,27.0,0.931,0.964,0.879,0.737,0.889,0.786,0.936,0.922,0.917,0.926,0.8886999487876892,0.0,0.9811399579048157
28,28.0,0.926,0.945,0.843,0.71,0.912,0.889,0.952,0.901,0.932,0.941,0.8950999975204468,0.0,0.9874599575996399
29,29.0,0.9,0.932,0.833,0.862,0.878,0.73,0.923,0.921,0.95,0.949,0.8877999782562256,0.0,0.9861199855804443
30,30.0,0.854,0.924,0.863,0.677,0.918,0.862,0.934,0.936,0.961,0.965,0.8894000053405762,0.0,0.988599956035614
31,31.0,0.904,0.942,0.827,0.819,0.878,0.822,0.896,0.883,0.934,0.917,0.8822000026702881,0.0,0.986579954624176
32,32.0,0.899,0.937,0.793,0.798,0.901,0.8,0.94,0.906,0.942,0.954,0.8869999647140503,0.0,0.986519992351532
33,33.0,0.927,0.949,0.881,0.782,0.913,0.867,0.923,0.937,0.948,0.957,0.9083999991416931,0.0,0.9996599555015564
34,34.0,0.91,0.952,0.872,0.784,0.931,0.87,0.943,0.941,0.95,0.965,0.911799967288971,0.0,0.9998399615287781
35,35.0,0.909,0.951,0.883,0.786,0.935,0.877,0.937,0.937,0.954,0.96,0.9128999710083008,0.0,0.9999199509620667
36,36.0,0.918,0.965,0.875,0.827,0.919,0.843,0.955,0.935,0.95,0.953,0.9139999747276306,0.0,0.9999399781227112
37,37.0,0.925,0.953,0.872,0.789,0.932,0.873,0.948,0.94,0.951,0.961,0.9143999814987183,0.0,0.9999799728393555
38,38.0,0.933,0.955,0.871,0.803,0.932,0.866,0.946,0.946,0.949,0.958,0.9158999919891357,0.0,1.0
39,39.0,0.93,0.958,0.872,0.8,0.929,0.877,0.936,0.939,0.948,0.959,0.9147999882698059,0.0,1.0
40,40.0,0.921,0.97,0.885,0.765,0.928,0.892,0.949,0.945,0.948,0.95,0.9152999520301819,0.0,1.0
41,41.0,0.929,0.963,0.866,0.817,0.934,0.855,0.945,0.94,0.954,0.957,0.9159999489784241,0.0,1.0
42,42.0,0.917,0.958,0.884,0.818,0.94,0.857,0.931,0.94,0.949,0.957,0.9150999784469604,0.0,1.0
43,43.0,0.929,0.968,0.88,0.811,0.924,0.866,0.944,0.949,0.949,0.955,0.9174999594688416,0.0,1.0
44,44.0,0.927,0.97,0.874,0.812,0.92,0.866,0.946,0.943,0.95,0.947,0.9154999852180481,0.0,1.0
45,45.0,0.931,0.966,0.886,0.827,0.935,0.843,0.93,0.942,0.95,0.946,0.9156000018119812,0.0,1.0
46,46.0,0.928,0.962,0.881,0.806,0.93,0.862,0.95,0.945,0.949,0.957,0.9169999957084656,0.0,1.0
47,47.0,0.933,0.965,0.89,0.809,0.925,0.867,0.936,0.946,0.946,0.949,0.9165999889373779,0.0,1.0
48,48.0,0.935,0.965,0.881,0.807,0.928,0.872,0.94,0.944,0.939,0.961,0.917199969291687,0.0,1.0
49,49.0,0.927,0.964,0.885,0.821,0.925,0.853,0.95,0.943,0.953,0.954,0.9174999594688416,0.0,1.0
50,50.0,0.924,0.965,0.887,0.806,0.919,0.859,0.951,0.944,0.947,0.957,0.9158999919891357,0.0,1.0
51,51.0,0.933,0.96,0.884,0.821,0.925,0.845,0.94,0.944,0.952,0.962,0.9165999889373779,0.0,1.0
52,52.0,0.931,0.963,0.898,0.782,0.922,0.878,0.939,0.943,0.941,0.959,0.9156000018119812,0.0,1.0
53,53.0,0.926,0.965,0.876,0.814,0.926,0.868,0.949,0.945,0.952,0.955,0.9175999760627747,0.0,1.0
54,54.0,0.93,0.963,0.885,0.819,0.929,0.849,0.947,0.942,0.95,0.953,0.916700005531311,0.0,1.0
55,55.0,0.935,0.965,0.881,0.816,0.933,0.858,0.945,0.946,0.949,0.95,0.9177999496459961,0.0,1.0
56,56.0,0.93,0.963,0.888,0.81,0.92,0.868,0.942,0.94,0.947,0.956,0.9163999557495117,0.0,1.0
57,57.0,0.931,0.963,0.882,0.819,0.922,0.859,0.945,0.951,0.952,0.952,0.9175999760627747,0.0,1.0
58,58.0,0.931,0.965,0.888,0.802,0.922,0.867,0.948,0.945,0.943,0.953,0.9163999557495117,0.0,1.0
59,59.0,0.926,0.962,0.892,0.818,0.928,0.853,0.947,0.941,0.952,0.959,0.9177999496459961,0.0,1.0
60,60.0,0.936,0.964,0.885,0.812,0.929,0.855,0.939,0.943,0.947,0.952,0.9161999821662903,0.0,1.0
61,61.0,0.933,0.962,0.885,0.813,0.921,0.86,0.943,0.945,0.948,0.962,0.917199969291687,0.0,1.0
62,62.0,0.932,0.96,0.879,0.801,0.933,0.864,0.946,0.944,0.948,0.959,0.9165999889373779,0.0,1.0
63,63.0,0.926,0.969,0.881,0.819,0.924,0.865,0.943,0.947,0.953,0.947,0.9174000024795532,0.0,1.0
64,64.0,0.928,0.963,0.871,0.803,0.936,0.858,0.942,0.948,0.944,0.956,0.914900004863739,0.0,1.0
65,65.0,0.931,0.965,0.885,0.798,0.93,0.859,0.948,0.944,0.95,0.951,0.9160999655723572,0.0,1.0
66,66.0,0.923,0.963,0.872,0.79,0.931,0.872,0.952,0.949,0.951,0.956,0.9158999919891357,0.0,1.0
67,67.0,0.927,0.964,0.878,0.804,0.919,0.87,0.944,0.939,0.955,0.947,0.9146999716758728,0.0,1.0
68,68.0,0.927,0.962,0.893,0.812,0.928,0.852,0.942,0.938,0.947,0.96,0.9160999655723572,0.0,1.0
69,69.0,0.925,0.962,0.884,0.806,0.923,0.854,0.947,0.946,0.951,0.953,0.9150999784469604,0.0,1.0
70,70.0,0.925,0.962,0.883,0.823,0.925,0.847,0.945,0.944,0.951,0.954,0.9158999919891357,0.0,1.0
71,71.0,0.928,0.96,0.886,0.805,0.933,0.86,0.94,0.941,0.952,0.959,0.9163999557495117,0.0,1.0
72,72.0,0.929,0.965,0.881,0.822,0.917,0.857,0.944,0.946,0.946,0.951,0.9157999753952026,0.0,1.0
73,73.0,0.929,0.962,0.885,0.805,0.924,0.869,0.943,0.944,0.952,0.956,0.9168999791145325,0.0,1.0
74,74.0,0.924,0.969,0.889,0.812,0.913,0.859,0.948,0.943,0.955,0.944,0.9156000018119812,0.0,1.0
75,75.0,0.915,0.963,0.889,0.804,0.925,0.863,0.944,0.941,0.942,0.961,0.9146999716758728,0.0,1.0
76,76.0,0.928,0.961,0.894,0.812,0.921,0.858,0.949,0.942,0.946,0.953,0.9163999557495117,0.0,1.0
77,77.0,0.925,0.963,0.889,0.816,0.923,0.852,0.947,0.946,0.947,0.955,0.9162999987602234,0.0,1.0
78,78.0,0.917,0.962,0.889,0.79,0.928,0.87,0.951,0.941,0.948,0.956,0.9151999950408936,0.0,1.0
79,79.0,0.933,0.961,0.878,0.813,0.922,0.866,0.946,0.947,0.95,0.955,0.9170999526977539,0.0,1.0
80,80.0,0.923,0.96,0.882,0.817,0.923,0.85,0.951,0.943,0.948,0.956,0.9152999520301819,0.0,1.0
81,81.0,0.925,0.964,0.872,0.808,0.924,0.857,0.948,0.944,0.949,0.954,0.9144999980926514,0.0,1.0
