,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.175,0.925,0.341,0.79,0.878,0.989,0.118,0.275,0.807,0.493,0.5791000127792358,0.0,0.6236333250999451
1,1.0,0.0,0.447,0.355,0.003,0.21,0.002,0.923,0.0,0.296,0.002,0.22379998862743378,0.0,0.24553333222866058
2,2.0,0.868,0.388,0.783,0.969,0.775,0.866,0.18,0.993,0.921,0.802,0.7544999718666077,0.0,0.7143833637237549
3,3.0,0.703,0.085,0.617,0.944,0.809,0.157,0.535,0.997,0.686,0.585,0.611799955368042,0.0,0.6080666780471802
4,4.0,0.427,0.011,0.16,0.0,0.092,0.0,0.959,0.006,0.106,0.0,0.1761000007390976,0.0,0.22931666672229767
5,5.0,0.751,0.935,0.899,0.809,0.365,0.142,0.609,0.999,0.65,0.557,0.6715999841690063,0.0,0.6848500370979309
6,6.0,0.854,0.982,0.931,0.782,0.46,0.259,0.505,1.0,0.785,0.294,0.6851999759674072,0.0,0.7017000317573547
7,7.0,0.877,0.971,0.855,0.898,0.817,0.995,0.56,0.621,0.953,0.948,0.8495000004768372,0.0,0.8467833399772644
8,8.0,0.644,0.946,0.512,0.939,0.88,0.997,0.732,0.493,0.971,0.871,0.7985000014305115,0.0,0.8278666734695435
9,9.0,0.918,0.985,0.771,0.629,0.894,0.398,0.538,0.995,0.808,0.873,0.7809000015258789,0.0,0.7956333160400391
10,10.0,0.627,0.966,0.363,0.899,0.86,0.991,0.793,0.868,0.952,0.958,0.8276999592781067,0.0,0.8151333332061768
11,11.0,0.809,0.966,0.869,0.881,0.932,0.976,0.605,0.91,0.967,0.974,0.8888999819755554,0.0,0.8768166899681091
12,12.0,0.8,0.96,0.912,0.82,0.822,0.983,0.473,0.831,0.964,0.986,0.8550999760627747,0.0,0.8267666697502136
13,13.0,0.765,0.969,0.827,0.846,0.876,0.992,0.667,0.888,0.946,0.943,0.8718999624252319,0.0,0.8753833174705505
14,14.0,0.074,0.37,0.779,0.0,0.504,0.0,0.766,0.0,0.878,0.045,0.3416000008583069,0.0,0.36970001459121704
15,15.0,0.614,0.981,0.493,0.86,0.925,0.823,0.768,0.993,0.93,0.918,0.8305000066757202,0.0,0.8156333565711975
16,16.0,0.75,0.973,0.831,0.937,0.9,1.0,0.748,0.452,0.979,0.909,0.8478999733924866,0.0,0.8799333572387695
17,17.0,0.868,0.969,0.876,0.862,0.861,0.988,0.762,0.948,0.983,0.952,0.9068999886512756,0.0,0.8979666829109192
18,18.0,0.786,0.972,0.827,0.918,0.853,0.981,0.833,0.984,0.971,0.939,0.9063999652862549,0.0,0.8961833715438843
19,19.0,0.823,0.954,0.861,0.935,0.831,0.928,0.766,0.996,0.973,0.922,0.8988999724388123,0.0,0.8864166736602783
20,20.0,0.826,0.874,0.77,0.923,0.897,0.24,0.713,0.967,0.835,0.767,0.7811999917030334,0.0,0.8174999952316284
21,21.0,0.849,0.97,0.879,0.865,0.918,0.967,0.583,0.976,0.972,0.94,0.8919000029563904,0.0,0.8785833716392517
22,22.0,0.827,0.977,0.851,0.898,0.923,0.99,0.809,0.928,0.986,0.975,0.9163999557495117,0.0,0.9176999926567078
