,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.765,0.0,0.664,0.0,0.469,0.0,0.435,0.0,0.747,0.0,0.30799999833106995,0.0,0.311599999666214
1,1.0,0.225,0.053,0.742,0.0,0.0,0.0,0.014,0.829,0.943,0.0,0.280599981546402,0.0,0.2815333306789398
2,2.0,0.712,0.015,0.978,0.0,0.0,0.081,0.006,0.0,0.609,0.0,0.24009999632835388,0.0,0.23538333177566528
3,3.0,0.029,0.707,0.61,0.146,0.0,0.0,0.706,0.0,0.92,0.0,0.3118000030517578,0.0,0.30783334374427795
4,4.0,0.033,0.143,0.862,0.0,0.002,0.001,0.775,0.0,0.207,0.0,0.20229999721050262,0.0,0.20573332905769348
5,5.0,0.008,0.306,0.605,0.012,0.027,0.0,0.138,0.0,0.994,0.0,0.20899999141693115,0.0,0.22188334167003632
6,6.0,0.891,0.961,0.715,0.939,0.933,0.91,0.37,0.938,0.973,0.972,0.8601999878883362,0.0,0.8708500266075134
7,7.0,0.869,0.967,0.599,0.874,0.842,0.978,0.677,0.863,0.963,0.96,0.8592000007629395,0.0,0.8622000217437744
8,8.0,0.886,0.965,0.639,0.939,0.782,0.966,0.612,0.987,0.96,0.831,0.8567000031471252,0.0,0.869183361530304
9,9.0,0.939,0.938,0.806,0.56,0.339,0.702,0.572,0.266,0.966,0.464,0.6552000045776367,0.0,0.697700023651123
10,10.0,0.8,0.964,0.775,0.864,0.699,0.992,0.845,0.855,0.921,0.949,0.8664000034332275,0.0,0.870033323764801
11,11.0,0.448,0.036,0.738,0.1,0.663,0.97,0.401,0.205,0.357,0.877,0.4794999957084656,0.0,0.478383332490921
12,12.0,0.804,0.985,0.86,0.834,0.94,0.953,0.659,0.949,0.963,0.967,0.8913999795913696,0.0,0.8995333313941956
13,13.0,0.744,0.94,0.831,0.926,0.923,0.974,0.655,0.946,0.963,0.946,0.8847999572753906,0.0,0.8897333145141602
14,14.0,0.164,0.049,0.519,0.203,0.695,0.998,0.594,0.002,0.648,0.708,0.45799997448921204,0.0,0.45821666717529297
15,15.0,0.579,0.992,0.86,0.944,0.773,0.835,0.815,0.999,0.961,0.721,0.8478999733924866,0.0,0.8536999821662903
16,16.0,0.568,0.927,0.721,0.986,0.698,0.988,0.786,0.957,0.899,0.873,0.8402999639511108,0.0,0.8476166725158691
17,17.0,0.862,0.965,0.956,0.935,0.528,0.966,0.64,0.924,0.982,0.981,0.8738999962806702,0.0,0.8877833485603333
18,18.0,0.601,0.023,0.889,0.175,0.279,0.0,0.559,0.0,0.994,0.0,0.35199999809265137,0.0,0.3614666759967804
19,19.0,0.603,0.96,0.351,0.94,0.859,0.992,0.835,0.939,0.965,0.938,0.8381999731063843,0.0,0.8465999960899353
20,20.0,0.443,0.938,0.288,0.909,0.901,0.545,0.873,0.828,0.943,0.943,0.7610999941825867,0.0,0.7605000138282776
21,21.0,0.806,0.972,0.88,0.936,0.966,0.97,0.575,0.991,0.979,0.938,0.9012999534606934,0.0,0.918066680431366
22,22.0,0.731,0.993,0.597,0.915,0.891,0.985,0.862,0.979,0.976,0.947,0.8876000046730042,0.0,0.9037833213806152
23,23.0,0.863,0.979,0.806,0.903,0.933,0.994,0.701,0.938,0.983,0.959,0.9059000015258789,0.0,0.9244166612625122
24,24.0,0.841,0.967,0.92,0.923,0.744,0.203,0.753,0.972,0.924,0.932,0.8179000020027161,0.0,0.8321333527565002
25,25.0,0.694,0.974,0.582,0.94,0.896,0.987,0.825,0.979,0.965,0.933,0.8774999976158142,0.0,0.8924333453178406
