,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.0,0.0,0.987,0.0,0.0,0.57,0.002,0.0,0.597,0.0,0.21559999883174896,0.0,0.21494999527931213
1,1.0,0.071,0.644,0.032,0.554,0.0,0.0,0.231,0.0,0.9,0.0,0.24319998919963837,0.0,0.24513334035873413
2,2.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1014999970793724,0.0,0.10161666572093964
3,3.0,0.0,0.011,0.0,0.0,0.0,0.0,0.001,0.0,0.998,0.0,0.10099999606609344,0.0,0.1005166694521904
4,4.0,0.145,0.005,0.011,0.0,0.0,0.0,0.967,0.0,0.047,0.0,0.11749999970197678,0.0,0.11616666615009308
5,5.0,0.163,0.715,0.431,0.036,0.415,0.072,0.195,0.535,0.948,0.863,0.4372999966144562,0.0,0.43299999833106995
6,6.0,0.947,0.959,0.787,0.852,0.753,0.898,0.452,0.984,0.884,0.946,0.8461999893188477,0.0,0.8505499958992004
7,7.0,0.953,0.958,0.788,0.586,0.366,0.483,0.374,0.386,0.969,0.313,0.6175999641418457,0.0,0.6160500049591064
8,8.0,0.894,0.941,0.687,0.83,0.731,0.937,0.649,0.977,0.968,0.926,0.8539999723434448,0.0,0.8617500066757202
9,9.0,0.681,0.0,0.624,0.0,0.0,0.0,0.772,0.0,0.741,0.0,0.2818000018596649,0.0,0.2844499945640564
10,10.0,0.843,0.782,0.753,0.952,0.699,0.953,0.643,0.991,0.956,0.923,0.8495000004768372,0.0,0.8567500114440918
11,11.0,0.809,0.883,0.854,0.95,0.781,0.739,0.599,0.996,0.949,0.903,0.8463000059127808,0.0,0.8542500138282776
12,12.0,0.93,0.98,0.878,0.541,0.448,0.795,0.292,0.973,0.912,0.901,0.7649999856948853,0.0,0.770300030708313
13,13.0,0.337,0.304,0.898,0.393,0.095,0.974,0.126,0.554,0.862,0.776,0.5318999886512756,0.0,0.5164999961853027
14,14.0,0.269,0.013,0.86,0.443,0.411,0.001,0.871,0.001,0.853,0.446,0.41679999232292175,0.0,0.42906665802001953
15,15.0,0.038,0.001,0.648,0.079,0.075,0.0,0.89,0.0,0.724,0.0,0.24549999833106995,0.0,0.24880000948905945
16,16.0,0.0,0.0,0.078,0.003,0.005,0.0,0.968,0.944,0.009,0.0,0.20069999992847443,0.0,0.20125000178813934
17,17.0,0.922,0.981,0.952,0.896,0.648,0.984,0.571,0.938,0.975,0.967,0.8833999633789062,0.0,0.8992833495140076
18,18.0,0.709,0.979,0.708,0.927,0.94,0.991,0.757,0.979,0.969,0.949,0.8907999992370605,0.0,0.9046333432197571
19,19.0,0.893,0.974,0.714,0.904,0.934,0.961,0.747,0.973,0.982,0.965,0.904699981212616,0.0,0.9211166501045227
20,20.0,0.878,0.917,0.89,0.699,0.481,0.004,0.672,0.006,0.939,0.679,0.6164999604225159,0.0,0.612500011920929
21,21.0,0.783,0.948,0.656,0.911,0.909,0.391,0.693,0.694,0.943,0.805,0.7732999920845032,0.0,0.8126000165939331
22,22.0,0.881,0.981,0.843,0.894,0.925,0.944,0.717,0.894,0.978,0.98,0.9036999940872192,0.0,0.9214333295822144
