,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.61,0.908,0.859,0.874,0.394,0.96,0.009,0.426,0.824,0.365,0.6229000091552734,0.0,0.6281333565711975
1,1.0,0.716,0.931,0.663,0.888,0.52,0.964,0.489,0.495,0.923,0.512,0.710099995136261,0.0,0.7261999845504761
2,2.0,0.106,0.018,0.264,0.0,0.541,0.0,0.623,0.342,0.916,0.027,0.28369998931884766,0.0,0.286216676235199
3,3.0,0.071,0.003,0.604,0.0,0.0,0.0,0.52,0.0,0.99,0.0,0.21879999339580536,0.0,0.23323333263397217
4,4.0,0.948,0.01,0.606,0.0,0.0,0.0,0.487,0.127,0.223,0.0,0.24009999632835388,0.0,0.27308332920074463
5,5.0,0.938,0.974,0.859,0.756,0.668,0.956,0.438,0.987,0.956,0.75,0.8281999826431274,0.0,0.7948499917984009
6,6.0,0.088,0.0,0.966,0.006,0.0,0.0,0.304,0.0,0.387,0.0,0.17509999871253967,0.0,0.1970166712999344
7,7.0,0.854,0.953,0.873,0.941,0.699,0.956,0.38,0.861,0.976,0.972,0.8464999794960022,0.0,0.823199987411499
8,8.0,0.005,0.983,0.666,0.001,0.198,0.0,0.807,0.0,0.734,0.033,0.3427000045776367,0.0,0.35100001096725464
9,9.0,0.723,0.964,0.731,0.945,0.57,0.997,0.715,0.439,0.965,0.783,0.7831999659538269,0.0,0.7977833151817322
10,10.0,0.81,0.961,0.927,0.693,0.455,0.786,0.684,0.787,0.963,0.781,0.7846999764442444,0.0,0.7613999843597412
11,11.0,0.618,0.107,0.942,0.0,0.149,0.0,0.502,0.0,0.787,0.009,0.31139999628067017,0.0,0.32448333501815796
12,12.0,0.793,0.975,0.936,0.972,0.464,0.881,0.587,0.995,0.949,0.877,0.8428999781608582,0.0,0.8303499817848206
13,13.0,0.736,0.972,0.597,0.894,0.707,0.96,0.766,0.984,0.986,0.869,0.8470999598503113,0.0,0.8596833348274231
14,14.0,0.709,0.992,0.816,0.699,0.769,0.148,0.778,0.155,0.869,0.94,0.6875,0.0,0.6668333411216736
15,15.0,0.874,0.983,0.812,0.918,0.907,0.992,0.473,0.689,0.974,0.894,0.8515999913215637,0.0,0.8625500202178955
16,16.0,0.859,0.986,0.899,0.963,0.698,0.933,0.593,0.975,0.985,0.961,0.8851999640464783,0.0,0.8619999885559082
17,17.0,0.343,0.553,0.859,0.427,0.343,0.02,0.814,0.262,0.756,0.353,0.4729999899864197,0.0,0.5072166919708252
18,18.0,0.835,0.992,0.91,0.277,0.402,0.156,0.674,0.914,0.871,0.535,0.6565999984741211,0.0,0.6524166464805603
19,19.0,0.813,0.97,0.726,0.9,0.728,0.973,0.724,0.981,0.974,0.871,0.8659999966621399,0.0,0.82586669921875
20,20.0,0.37,0.625,0.819,0.603,0.633,0.255,0.837,0.071,0.857,0.5,0.5569999814033508,0.0,0.5976999998092651
21,21.0,0.893,0.978,0.887,0.908,0.833,0.787,0.652,0.997,0.965,0.861,0.8761000037193298,0.0,0.862250030040741
22,22.0,0.813,0.985,0.863,0.952,0.87,0.826,0.651,0.994,0.96,0.873,0.8786999583244324,0.0,0.8790333271026611
23,23.0,0.9,0.984,0.947,0.873,0.822,0.99,0.455,0.915,0.987,0.969,0.8841999769210815,0.0,0.8727666735649109
24,24.0,0.85,0.981,0.907,0.925,0.81,0.844,0.521,0.845,0.918,0.923,0.852400004863739,0.0,0.8481500148773193
25,25.0,0.793,0.981,0.904,0.922,0.828,0.321,0.623,0.93,0.969,0.894,0.8165000081062317,0.0,0.8256166577339172
26,26.0,0.815,0.983,0.88,0.91,0.838,0.985,0.811,0.961,0.983,0.965,0.913100004196167,0.0,0.9160500168800354
27,27.0,0.925,0.988,0.881,0.843,0.916,0.995,0.668,0.884,0.987,0.974,0.9060999751091003,0.0,0.9033333659172058
28,28.0,0.828,0.985,0.912,0.938,0.906,0.984,0.657,0.989,0.982,0.927,0.9107999801635742,0.0,0.9185000061988831
29,29.0,0.939,0.982,0.897,0.922,0.931,0.965,0.609,0.988,0.987,0.941,0.9160999655723572,0.0,0.9087833166122437
