,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,train_acc
0,0.0,0.3224,0.3604,0.0002,0.9392,0.1396,0.0124,0.0066,0.1292,0.2206,0.3522,0.24827998876571655
1,1.0,0.4074,0.4612,0.297,0.3808,0.2212,0.3412,0.541,0.5326,0.4976,0.7432,0.44231998920440674
2,2.0,0.4684,0.6306,0.314,0.2578,0.727,0.4956,0.7698,0.4096,0.7586,0.6248,0.5456199645996094
3,3.0,0.6104,0.6988,0.7844,0.3344,0.5138,0.4678,0.7016,0.1532,0.8324,0.5668,0.5663599967956543
4,4.0,0.6912,0.85,0.6216,0.6138,0.6928,0.3572,0.7294,0.7558,0.7472,0.573,0.6631999611854553
5,5.0,0.8432,0.5506,0.6564,0.5918,0.6218,0.5198,0.33,0.8738,0.3552,0.475,0.5817599892616272
6,6.0,0.6584,0.8134,0.8412,0.289,0.6244,0.3872,0.8854,0.7078,0.6004,0.8568,0.6663999557495117
7,7.0,0.786,0.8866,0.6742,0.5194,0.8316,0.7496,0.6082,0.7334,0.8644,0.6806,0.7333999872207642
8,8.0,0.8888,0.9014,0.6792,0.2138,0.7844,0.8272,0.6454,0.6206,0.748,0.6124,0.6921199560165405
9,9.0,0.7132,0.8732,0.702,0.6386,0.6758,0.7314,0.7438,0.8448,0.8372,0.7808,0.7540799975395203
10,10.0,0.7334,0.908,0.737,0.6634,0.2144,0.3206,0.7924,0.8162,0.9198,0.5962,0.6701399683952332
11,11.0,0.7156,0.9108,0.754,0.1432,0.6204,0.804,0.918,0.6756,0.6622,0.8954,0.7099199891090393
12,12.0,0.8144,0.8828,0.7696,0.8408,0.7466,0.3088,0.6006,0.699,0.4092,0.7616,0.6833399534225464
13,13.0,0.744,0.948,0.5414,0.916,0.5668,0.3864,0.736,0.8676,0.8098,0.715,0.7231000065803528
14,14.0,0.7486,0.979,0.8508,0.6556,0.867,0.791,0.8722,0.7224,0.9036,0.61,0.8000199794769287
15,15.0,0.6572,0.8512,0.9502,0.5376,0.8498,0.718,0.7626,0.6174,0.8398,0.9338,0.7717599868774414
16,16.0,0.8482,0.6774,0.7272,0.309,0.7028,0.906,0.6398,0.9242,0.7964,0.984,0.7515000104904175
17,17.0,0.8548,0.8852,0.7938,0.8578,0.7302,0.8068,0.7934,0.9164,0.8842,0.8912,0.8413800001144409
18,18.0,0.8934,0.9382,0.7588,0.706,0.8792,0.8538,0.691,0.7578,0.8668,0.732,0.807699978351593
19,19.0,0.737,0.8108,0.7416,0.7592,0.8596,0.8592,0.7332,0.9108,0.9206,0.9582,0.8290199637413025
20,20.0,0.7306,0.9056,0.8022,0.8766,0.5518,0.7094,0.8542,0.7834,0.9514,0.9486,0.8113799691200256
21,21.0,0.713,0.8624,0.793,0.7588,0.9406,0.8468,0.6608,0.6468,0.9332,0.8612,0.8016600012779236
22,22.0,0.9306,0.9456,0.915,0.7266,0.9568,0.9372,0.9486,0.8948,0.8962,0.8928,0.9044199585914612
23,23.0,0.9282,0.8588,0.913,0.9104,0.9264,0.804,0.9304,0.877,0.9036,0.978,0.9029799699783325
24,24.0,0.8602,0.9132,0.894,0.799,0.8298,0.946,0.9092,0.8016,0.944,0.9328,0.8829799890518188
25,25.0,0.9234,0.973,0.7828,0.908,0.8888,0.6572,0.9208,0.8826,0.9758,0.7852,0.8697599768638611
26,26.0,0.8656,0.9302,0.7274,0.7634,0.8842,0.9744,0.8052,0.812,0.865,0.9526,0.8579999804496765
27,27.0,0.9824,0.9796,0.9664,0.9626,0.961,0.9156,0.9826,0.966,0.9358,0.9732,0.9625200033187866
28,28.0,0.9736,0.9594,0.9282,0.9676,0.975,0.9698,0.9904,0.9838,0.9764,0.984,0.9708199501037598
29,29.0,0.95,0.9902,0.9896,0.9278,0.9814,0.9796,0.966,0.9832,0.9712,0.9742,0.9713199734687805
30,30.0,0.9816,0.979,0.8392,0.9554,0.9702,0.9786,0.9552,0.9908,0.973,0.9912,0.9614199995994568
31,31.0,0.951,0.9904,0.9644,0.9394,0.9816,0.9758,0.9864,0.8966,0.985,0.9602,0.9630799889564514
32,32.0,0.8844,0.949,0.9798,0.9408,0.9928,0.9116,0.9798,0.974,0.9918,0.9844,0.9588399529457092
33,33.0,0.9946,0.9936,0.996,0.9976,0.9968,0.9982,0.9976,0.9982,0.9968,0.9966,0.9965999722480774
34,34.0,0.9942,0.999,0.9986,0.9988,0.9986,0.9996,0.9984,0.9992,0.9984,0.997,0.9981799721717834
35,35.0,0.9992,0.9964,0.9994,0.9996,0.9998,0.999,0.9998,0.9996,0.9994,0.9988,0.9990999698638916
36,36.0,0.9994,0.9996,0.9998,1.0,1.0,0.9988,1.0,0.999,0.9996,0.9984,0.999459981918335
37,37.0,0.9994,0.999,0.9998,1.0,0.9994,1.0,1.0,0.9998,1.0,0.9996,0.9996999502182007
38,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9998,0.9999399781227112
39,39.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999599456787109
40,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9999799728393555
41,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9999799728393555
42,42.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999799728393555
43,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9999799728393555
51,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
