,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,train_acc
0,0.0,0.0368,0.271,0.0,0.1662,0.344,0.0792,0.6316,0.2408,0.4466,0.6022,0.2818399965763092
1,1.0,0.485,0.4894,0.3012,0.6094,0.3126,0.2382,0.3226,0.4826,0.4932,0.536,0.42701998353004456
2,2.0,0.6652,0.6668,0.4918,0.3232,0.5822,0.4044,0.653,0.5316,0.7626,0.4972,0.5577999949455261
3,3.0,0.5236,0.6978,0.4542,0.7008,0.5906,0.4624,0.7424,0.058,0.9146,0.661,0.5805400013923645
4,4.0,0.6248,0.8254,0.4782,0.8716,0.635,0.155,0.7448,0.4676,0.8774,0.5548,0.6234599947929382
5,5.0,0.5702,0.8504,0.3032,0.5294,0.435,0.8586,0.2322,0.8564,0.5264,0.567,0.5728799700737
6,6.0,0.7614,0.8168,0.6578,0.8738,0.6672,0.3786,0.8016,0.3742,0.5464,0.8906,0.6768400073051453
7,7.0,0.8426,0.7104,0.633,0.5162,0.8136,0.719,0.621,0.7712,0.9316,0.804,0.7362599968910217
8,8.0,0.8282,0.8666,0.4456,0.6502,0.721,0.7804,0.6922,0.7338,0.8734,0.7436,0.7335000038146973
9,9.0,0.8268,0.9014,0.626,0.468,0.6908,0.7694,0.8066,0.6544,0.736,0.556,0.7035399675369263
10,10.0,0.5318,0.7416,0.5936,0.5066,0.5264,0.2714,0.6702,0.7818,0.9682,0.9566,0.6548199653625488
11,11.0,0.7292,0.8248,0.2748,0.5034,0.837,0.5108,0.8784,0.8334,0.8514,0.9458,0.7188999652862549
12,12.0,0.5688,0.6664,0.731,0.6924,0.92,0.4868,0.3352,0.7642,0.3154,0.706,0.618619978427887
13,13.0,0.847,0.9668,0.7208,0.8836,0.7798,0.502,0.9052,0.9114,0.8006,0.8822,0.8199399709701538
14,14.0,0.7026,0.9688,0.831,0.5966,0.8266,0.5524,0.9118,0.8408,0.9754,0.7726,0.7978599667549133
15,15.0,0.8218,0.9132,0.8914,0.4688,0.7472,0.8658,0.6978,0.735,0.8202,0.9746,0.7935799956321716
16,16.0,0.8154,0.6004,0.8664,0.349,0.7142,0.883,0.842,0.911,0.7774,0.9844,0.7743200063705444
17,17.0,0.8866,0.9368,0.7262,0.7362,0.9534,0.4524,0.7166,0.7768,0.9682,0.76,0.7913199663162231
18,18.0,0.9778,0.97,0.8326,0.792,0.9376,0.8152,0.974,0.8768,0.9406,0.9034,0.9019999504089355
19,19.0,0.849,0.9658,0.8776,0.8662,0.8394,0.7364,0.9492,0.966,0.9732,0.9774,0.9000200033187866
20,20.0,0.9484,0.982,0.9268,0.8344,0.8092,0.8252,0.898,0.8986,0.9624,0.8938,0.897879958152771
21,21.0,0.876,0.9508,0.7858,0.718,0.955,0.9446,0.917,0.9078,0.9868,0.9322,0.8973999619483948
22,22.0,0.8726,0.9084,0.925,0.6432,0.9676,0.907,0.899,0.8628,0.983,0.9366,0.8905199766159058
23,23.0,0.9116,0.9708,0.9648,0.8998,0.91,0.7372,0.9078,0.9238,0.9524,0.9802,0.9158399701118469
24,24.0,0.9788,0.9958,0.9374,0.95,0.9646,0.9398,0.9868,0.9442,0.996,0.9792,0.9672600030899048
25,25.0,0.9906,0.9908,0.896,0.881,0.9792,0.8586,0.9936,0.9476,0.9982,0.9618,0.9497399926185608
26,26.0,0.9732,0.9758,0.9472,0.952,0.9852,0.9592,0.9824,0.985,0.9622,0.9938,0.9715999960899353
27,27.0,0.9908,0.9924,0.9732,0.8102,0.9598,0.9772,0.9888,0.9808,0.9764,0.9952,0.9644799828529358
28,28.0,0.9808,0.9682,0.941,0.881,0.9474,0.8402,0.9956,0.9972,0.9882,0.996,0.9535599946975708
29,29.0,0.9982,0.9994,0.9934,0.9984,0.9974,0.9798,0.9968,0.9942,1.0,0.999,0.9956599473953247
30,30.0,0.9998,0.9998,0.9984,0.9964,0.999,0.9926,0.9986,0.9994,1.0,0.9986,0.998259961605072
31,31.0,1.0,1.0,0.9994,0.9954,1.0,0.9968,0.9996,0.9996,1.0,0.9992,0.9989999532699585
32,32.0,0.9994,0.9998,0.9994,1.0,0.9998,0.9994,1.0,1.0,1.0,1.0,0.999779999256134
33,33.0,1.0,1.0,1.0,0.9998,0.9998,0.9996,0.9998,1.0,1.0,1.0,0.9998999834060669
34,34.0,1.0,1.0,0.9994,0.9994,1.0,0.9962,1.0,1.0,1.0,1.0,0.9994999766349792
35,35.0,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,0.9999799728393555
36,36.0,1.0,1.0,1.0,1.0,1.0,0.9994,1.0,1.0,1.0,0.9998,0.9999199509620667
37,37.0,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,0.9999799728393555
38,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,39.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999799728393555
40,40.0,1.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,0.9999799728393555
41,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,42.0,0.9986,1.0,1.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,0.9998399615287781
43,43.0,1.0,1.0,1.0,0.9998,1.0,0.9998,0.9998,0.9996,0.9998,1.0,0.9998799562454224
44,44.0,1.0,1.0,0.9994,0.9992,1.0,0.9952,1.0,1.0,1.0,1.0,0.9993799924850464
45,45.0,0.9998,0.9998,0.999,0.9952,0.9922,0.9754,0.9998,0.9872,1.0,0.9978,0.9946199655532837
46,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,47.0,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,0.9999799728393555
48,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
